Year,Month,day,Hour,Demand,Price
2013.0,1.0,15.0,20.0,14268.48,51.861719999999998
2013.0,1.0,15.0,21.0,13833.02,49.83182
2013.0,1.0,15.0,22.0,13100.91,45.813290000000002
2013.0,1.0,15.0,23.0,12020.74,42.887839999999997
2013.0,1.0,15.0,24.0,11086.17,38.296889999999998
2013.0,1.0,16.0,1.0,10420.5,33.851419999999997
2013.0,1.0,16.0,2.0,10032.41,33.319130000000001
2013.0,1.0,16.0,3.0,9869.9400000000005,32.676789999999997
2013.0,1.0,16.0,4.0,9894.6900000000005,30.797699999999999
2013.0,1.0,16.0,5.0,10255.969999999999,34.832099999999997
2013.0,1.0,16.0,6.0,11197.959999999999,41.775820000000003
2013.0,1.0,16.0,7.0,12820.110000000001,44.214320000000001
2013.0,1.0,16.0,8.0,13808.82,49.089030000000001
2013.0,1.0,16.0,9.0,13714.08,44.082140000000003
2013.0,1.0,16.0,10.0,13253.01,43.563490000000002
2013.0,1.0,16.0,11.0,12942.68,42.163350000000001
2013.0,1.0,16.0,12.0,12630.290000000001,40.441679999999998
2013.0,1.0,16.0,13.0,12302.43,36.423209999999997
2013.0,1.0,16.0,14.0,12126.110000000001,36.96284
2013.0,1.0,16.0,15.0,11984.98,36.240400000000001
2013.0,1.0,16.0,16.0,12009.459999999999,36.158700000000003
2013.0,1.0,16.0,17.0,12346.17,40.340400000000002
2013.0,1.0,16.0,18.0,13796.85,49.859920000000002
2013.0,1.0,16.0,19.0,14584.610000000001,54.59789
2013.0,1.0,16.0,20.0,14490.870000000001,48.22795
2013.0,1.0,16.0,21.0,14119.559999999999,44.63841
2013.0,1.0,16.0,22.0,13337.790000000001,40.414479999999998
2013.0,1.0,16.0,23.0,12113.66,38.328969999999998
2013.0,1.0,16.0,24.0,10996.559999999999,35.248309999999996
2013.0,1.0,17.0,1.0,10326.540000000001,33.649769999999997
2013.0,1.0,17.0,2.0,9990.3999999999996,32.99015
2013.0,1.0,17.0,3.0,9829.6700000000001,32.13841
2013.0,1.0,17.0,4.0,9843.9599999999991,31.64537
2013.0,1.0,17.0,5.0,10158.18,33.514490000000002
2013.0,1.0,17.0,6.0,11001.629999999999,39.422989999999999
2013.0,1.0,17.0,7.0,12473.27,43.098559999999999
2013.0,1.0,17.0,8.0,13344.76,46.565390000000001
2013.0,1.0,17.0,9.0,13236.58,41.806759999999997
2013.0,1.0,17.0,10.0,12901.389999999999,41.064839999999997
2013.0,1.0,17.0,11.0,12650.24,39.414560000000002
2013.0,1.0,17.0,12.0,12383.040000000001,37.067979999999999
2013.0,1.0,17.0,13.0,12106.66,34.853110000000001
2013.0,1.0,17.0,14.0,11978.209999999999,34.545450000000002
2013.0,1.0,17.0,15.0,11831.17,34.355110000000003
2013.0,1.0,17.0,16.0,11880.26,34.34149
2013.0,1.0,17.0,17.0,12212.4,38.895330000000001
2013.0,1.0,17.0,18.0,13432.040000000001,44.681699999999999
2013.0,1.0,17.0,19.0,14077.77,50.9923
2013.0,1.0,17.0,20.0,13916.469999999999,47.237839999999998
2013.0,1.0,17.0,21.0,13559.280000000001,46.564880000000002
2013.0,1.0,17.0,22.0,12857.27,43.901380000000003
2013.0,1.0,17.0,23.0,11781.57,41.759259999999998
2013.0,1.0,17.0,24.0,10808.85,36.508299999999998
2013.0,1.0,18.0,1.0,10207.379999999999,33.277360000000002
2013.0,1.0,18.0,2.0,9860.5100000000002,31.421949999999999
2013.0,1.0,18.0,3.0,9703.6700000000001,30.69201
2013.0,1.0,18.0,4.0,9689.3400000000001,30.283829999999998
2013.0,1.0,18.0,5.0,10025.440000000001,32.239910000000002
2013.0,1.0,18.0,6.0,10802.219999999999,36.23321
2013.0,1.0,18.0,7.0,12195.049999999999,41.577779999999997
2013.0,1.0,18.0,8.0,13128.18,43.913589999999999
2013.0,1.0,18.0,9.0,13086.139999999999,41.272329999999997
2013.0,1.0,18.0,10.0,12910.74,41.942100000000003
2013.0,1.0,18.0,11.0,12698.32,41.35633
